moteid,temperature,humidity,light,voltage,dtime
43.0,19.2632,39.8574,26.68,2.68742,2004-02-28 21:33:48.977028
44.0,24.7904,32.8257,1847.36,2.73696,2004-02-28 13:30:18.902502
45.0,16.676,47.6361,0.92,2.62796,2004-03-01 02:14:02.419835
34.0,19.2142,40.8718,60.72,2.68742,2004-02-28 21:45:21.938847
36.0,23.634,33.4556,1847.36,2.67532,2004-03-02 11:46:46.161560
39.0,24.6826,33.0359,279.68,2.69964,2004-03-02 08:51:00.156843
19.0,25.1628,29.685,441.6,2.69964,2004-03-02 09:33:50.487263
41.0,21.6054,36.0603,79.12,2.69964,2004-02-28 17:52:18.318141
31.0,17.46,44.1172,0.92,2.65143,2004-03-02 03:00:53.532705
40.0,17.5384,43.7518,0.46,2.63964,2004-03-02 02:42:35.923486
19.0,21.2428,39.7557,209.76,2.68742,2004-02-29 14:09:27.477545
26.0,17.7932,44.084,1.38,2.63964,2004-03-02 01:58:23.295565
38.0,18.9692,39.5521,180.32,2.62796,2004-02-28 23:32:48.592519
21.0,21.7916,28.1159,136.16,2.66332,2004-03-02 21:23:56.042224
15.0,122.153,14.8705,1847.36,2.31097,2004-03-02 07:45:58.507635
42.0,17.2836,46.9178,217.12,2.63964,2004-02-29 22:10:32.164971
49.0,16.823,43.6521,0.46,2.65143,2004-02-29 01:12:48.280499
29.0,17.8912,45.2423,172.96,2.63964,2004-02-29 23:54:50.767502
22.0,21.6544,36.9215,684.48,2.68742,2004-02-29 11:26:56.302613
22.0,17.7932,39.5181,75.44,2.65143,2004-02-28 03:09:16.094235
18.0,21.2624,39.5521,382.72,2.50599,2004-02-29 13:42:22.818472
46.0,23.2028,40.3314,180.32,2.54901,2004-03-01 15:15:23.134514
29.0,21.331,39.8913,323.84,2.67532,2004-02-29 15:33:50.394857
46.0,21.0272,42.7185,39.56,2.52732,2004-03-01 18:58:32.399596
38.0,16.872,44.846,294.4,2.60491,2004-02-29 07:33:50.447300
45.0,22.1444,37.4708,108.56,2.68742,2004-03-01 08:36:35.994463
25.0,20.5862,39.0763,97.52,2.69964,2004-02-28 19:57:21.346406
45.0,16.1566,48.7408,0.92,2.62796,2004-03-01 04:59:32.652525
37.0,20.0864,41.3435,195.04,2.69964,2004-02-28 22:34:21.748412
21.0,19.0868,39.8913,128.8,2.65143,2004-03-02 00:43:54.192329
7.0,21.7622,38.7016,101.2,2.69964,2004-03-01 18:38:36.682154
1.0,21.4192,38.6675,323.84,2.69964,2004-02-29 13:44:53.328094
6.0,18.8418,39.6878,114.08,2.62796,2004-02-29 01:46:50.440794
40.0,18.2048,41.4444,108.56,2.67532,2004-02-29 01:27:52.793613
20.0,23.1636,36.4741,209.76,2.69964,2004-03-01 08:13:04.630347
14.0,21.4584,40.0268,187.68,2.69964,2004-02-29 14:16:21.839705
50.0,16.3526,46.0655,0.46,2.65143,2004-02-29 00:17:24.482057
46.0,18.6164,40.8718,1.84,2.51661,2004-02-28 22:55:49.613191
20.0,21.7132,31.0314,35.88,2.68742,2004-03-02 20:38:58.046475
53.0,16.774,45.5061,0.46,2.65143,2004-02-29 00:34:21.692796
51.0,20.3412,41.7133,743.36,2.67532,2004-02-29 14:34:58.093885
31.0,21.6838,41.0404,143.52,2.68742,2004-03-01 18:43:52.184604
40.0,25.104,36.1293,338.56,2.7244,2004-03-01 15:11:24.403868
54.0,20.3314,42.4844,43.24,2.66332,2004-03-01 18:27:33.116080
18.0,17.4796,40.0268,2.76,2.49546,2004-02-28 04:03:16.270008
10.0,22.8696,30.7486,456.32,2.67532,2004-03-02 13:52:50.579200
48.0,17.6266,45.4402,0.92,2.66332,2004-02-29 22:47:58.511925
42.0,18.7438,41.5116,3.68,2.67532,2004-02-28 20:47:53.358211
7.0,19.2632,40.8043,9.2,2.66332,2004-03-02 00:30:52.649470
39.0,24.7022,29.7205,323.84,2.71196,2004-03-02 13:14:36.677168
40.0,21.2428,42.7853,128.8,2.68742,2004-03-01 18:43:53.413860
39.0,20.8802,38.6675,150.88,2.71196,2004-02-28 19:23:50.277462
43.0,21.8896,40.9392,136.16,2.68742,2004-03-01 18:11:29.966187
26.0,18.2636,45.1103,114.08,2.65143,2004-02-29 21:59:50.335805
2.0,20.5862,41.1751,104.88,2.65143,2004-03-01 21:50:25.713995
30.0,25.888,32.7907,128.8,2.73696,2004-03-01 18:01:52.599661
39.0,18.5184,42.0824,368.0,2.66332,2004-02-29 08:26:23.810524
45.0,16.0978,45.8682,1.38,2.65143,2004-02-29 06:28:26.911496
38.0,21.1938,42.317,180.32,2.65143,2004-03-01 18:17:54.828205
2.0,20.8508,38.6334,128.8,2.68742,2004-02-28 19:37:49.465475
20.0,21.2722,35.9912,1317.44,2.67532,2004-03-02 07:06:42.902819
44.0,16.4702,45.8682,0.46,2.61639,2004-03-02 02:46:29.001299
17.0,22.8108,39.1783,86.48,2.61639,2004-03-01 18:04:53.757869
12.0,20.6646,38.7698,1847.36,2.68742,2004-02-28 13:40:18.093102
16.0,15.7646,48.6436,0.92,2.57108,2004-03-02 03:42:44.359851
54.0,22.164,37.6079,1847.36,2.69964,2004-02-28 15:03:18.288057
37.0,20.7136,40.56800000000001,195.04,2.69964,2004-02-28 21:00:48.074150
40.0,22.2424,30.2529,53.36,2.68742,2004-03-02 18:21:38.496757
54.0,15.4118,47.5057,53.36,2.62796,2004-02-29 06:55:23.328545
11.0,19.028,45.1763,1435.2,2.65143,2004-02-29 12:10:22.435756
3.0,17.803,42.9189,46.92,2.65143,2004-02-29 05:56:19.950985
21.0,18.2832,43.8515,93.84,2.65143,2004-03-01 01:19:51.036399
18.0,24.2416,27.4709,456.32,2.51661,2004-03-02 14:32:11.781794
52.0,21.6054,27.8294,64.4,2.65143,2004-03-02 20:02:54.333316
8.0,17.7344,42.3505,108.56,2.67532,2004-02-29 04:42:18.656106
6.0,22.4776,34.4664,743.36,2.62796,2004-03-02 08:05:09.145410
22.0,21.6446,37.8477,684.48,2.68742,2004-02-29 12:56:50.027236
25.0,16.5584,47.3752,82.8,2.62796,2004-03-01 04:44:21.781559
36.0,18.4792,45.6379,75.44,2.65143,2004-02-29 22:17:55.959988
45.0,17.6462,44.9121,0.92,2.65143,2004-02-29 22:27:25.255106
18.0,20.253,40.5004,53.36,2.50599,2004-02-29 17:08:58.460529
29.0,17.4698,46.9505,165.6,2.63964,2004-03-01 01:01:51.034949
30.0,29.759,22.392,1847.36,2.76242,2004-03-02 12:40:24.292561
20.0,21.4192,38.0529,60.72,2.7244,2004-02-28 17:54:21.424233
43.0,17.0484,43.8848,26.68,2.65143,2004-02-29 03:05:48.927907
8.0,18.2048,40.973,108.56,2.67532,2004-02-29 02:40:50.997344
23.0,16.7348,48.3517,195.04,2.62796,2004-03-01 06:16:53.727817
25.0,17.7246,41.9147,0.92,2.63964,2004-03-02 02:32:40.110818
26.0,17.8716,46.0655,108.56,2.65143,2004-02-29 23:46:50.750467
38.0,19.1162,41.8476,187.68,2.61639,2004-03-01 23:08:57.057466
20.0,21.9386,42.2835,34.04,2.69964,2004-03-01 18:58:29.239661
25.0,18.832,42.1495,93.84,2.66332,2004-02-29 19:27:54.711449
4.0,22.0464,36.1983,143.52,2.69964,2004-02-28 17:03:47.928705
45.0,27.2796,31.5959,309.12,2.74963,2004-03-01 12:24:21.447009
8.0,20.5176,40.3314,1.38,2.68742,2004-03-01 20:06:36.967910
22.0,26.77,23.7085,596.16,2.73696,2004-03-02 16:04:48.568949
44.0,24.908,35.0915,684.48,2.7244,2004-03-01 10:19:00.530452
38.0,17.1758,40.1622,180.32,2.59354,2004-02-28 05:32:47.453292
49.0,19.2926,42.0824,655.04,2.65143,2004-02-29 12:32:25.278073
38.0,17.0288,43.918,1.84,2.59354,2004-03-02 04:26:11.898029
18.0,17.2248,40.2299,2.76,2.48502,2004-02-28 04:34:46.704515
1.0,25.6234,35.4034,143.52,2.73696,2004-03-01 14:00:21.823358
23.0,24.222,29.8981,596.16,2.7244,2004-02-28 10:24:18.172382
6.0,19.665,41.6125,143.52,2.61639,2004-02-29 17:49:23.087786
53.0,22.164,29.7561,1258.56,2.67532,2004-03-02 16:49:39.285444
16.0,19.5082,41.1414,57.04,2.65143,2004-02-28 20:57:48.682020
31.0,21.7328,38.5993,1140.8,2.69964,2004-02-29 13:01:19.452742
23.0,19.2632,39.4162,0.92,2.66332,2004-02-28 23:25:24.671233
34.0,19.518,43.6188,217.12,2.67532,2004-02-29 16:45:19.798156
19.0,18.9594,39.7557,0.46,2.67532,2004-02-28 23:52:19.077551
24.0,21.1546,36.7495,136.16,2.7244,2004-02-28 18:32:19.059485
16.0,15.7842,51.4105,1.38,2.58226,2004-03-01 06:10:06.695724
33.0,24.7708,36.1983,224.48,2.7244,2004-03-01 15:12:57.227026
45.0,17.9696,38.8039,172.96,2.68742,2004-02-28 02:07:16.382437
43.0,18.2832,40.8718,26.68,2.66332,2004-02-29 00:23:18.178693
22.0,15.2844,49.1292,57.04,2.60491,2004-02-29 07:12:19.511065
16.0,27.9558,30.8194,1140.8,2.69964,2004-03-01 11:40:21.482976
44.0,15.451,48.3192,209.76,2.63964,2004-02-29 07:09:25.192729
3.0,19.7924,41.5116,53.36,2.66332,2004-02-29 17:55:19.927155
4.0,24.2808,36.9215,202.4,2.69964,2004-03-01 11:42:57.926444
26.0,28.1812,24.0,1199.68,2.74963,2004-03-02 14:17:46.206680
39.0,23.732,40.7706,294.4,2.69964,2004-03-01 13:32:51.782415
17.0,22.7422,29.685,713.92,2.60491,2004-03-02 15:35:45.690879
11.0,17.8912,43.5522,2.3,2.53812,2004-02-29 00:22:50.023592
19.0,23.4674,35.2302,143.52,2.69964,2004-03-01 09:13:22.689685
24.0,29.5238,28.6163,566.72,2.78836,2004-03-01 14:16:24.341059
49.0,17.656,44.1836,596.16,2.65143,2004-02-29 10:08:49.735549
52.0,15.8038,48.5788,0.92,2.59354,2004-03-02 02:06:05.722888
32.0,20.2138,30.7486,108.56,2.65143,2004-03-02 22:12:59.041165
6.0,20.4392,30.8194,12.88,2.60491,2004-03-02 22:05:25.171567
22.0,16.186,48.7408,68.08,2.56,2004-03-01 05:50:20.933984
31.0,16.97,45.4402,101.2,2.65143,2004-02-29 05:15:49.141326
48.0,23.4282,33.3507,655.04,2.69964,2004-03-02 09:43:21.826174
20.0,18.9692,43.7186,34.04,2.65143,2004-03-01 23:43:00.884772
6.0,22.5266,34.6055,1199.68,2.66332,2004-02-28 12:07:47.941704
15.0,122.153,1.6945400000000002,1847.36,2.30202,2004-03-02 07:40:23.401811
26.0,16.4996,48.2867,920.0,2.63964,2004-02-29 08:08:19.021313
7.0,17.803,43.0524,187.68,2.65143,2004-02-29 07:55:50.227884
15.0,122.153,-4.0,1847.36,2.27556,2004-03-02 15:49:25.114608
51.0,23.585,34.1184,743.36,2.7244,2004-02-28 13:50:48.063120
18.0,16.3428,46.3937,6.9,2.47467,2004-02-29 06:43:19.087338
29.0,26.6524,27.9011,831.68,2.76242,2004-02-28 13:16:17.834210
24.0,16.3232,44.9121,0.92,2.65143,2004-03-02 04:57:54.114851
52.0,19.7728,39.8913,0.92,2.66332,2004-02-28 20:17:25.695734
